Time: 2023-05-17 10:11:51.638082, Key pressed: 1
Time: 2023-05-17 10:11:52.683555, Key pressed: 2
Time: 2023-05-17 10:11:52.788484, Key pressed: 3
Time: 2023-05-17 10:11:52.894254, Key pressed: 1
Time: 2023-05-17 10:11:53.155658, Key pressed: 1
Time: 2023-05-17 10:11:53.184318, Key pressed: 1
Time: 2023-05-17 10:11:53.217903, Key pressed: 1
Time: 2023-05-17 10:11:53.257069, Key pressed: 1
Time: 2023-05-17 10:11:53.296280, Key pressed: 1
Time: 2023-05-17 10:11:53.314895, Key pressed: 1
Time: 2023-05-17 10:11:53.358942, Key pressed: 1
Time: 2023-05-17 10:11:53.393033, Key pressed: 1
Time: 2023-05-17 10:11:53.432479, Key pressed: 1
Time: 2023-05-17 10:11:53.451199, Key pressed: 1
Time: 2023-05-17 10:11:53.490668, Key pressed: 1
Time: 2023-05-17 10:11:53.534823, Key pressed: 1
Time: 2023-05-17 10:11:54.423578, Key pressed: 2
Time: 2023-05-17 10:11:54.450190, Key pressed: 1
Time: 2023-05-17 10:11:54.543455, Key pressed: 3
Time: 2023-05-17 10:11:54.800857, Key pressed: 3
Time: 2023-05-17 10:11:54.834261, Key pressed: 3
Time: 2023-05-17 10:11:54.867881, Key pressed: 3
Time: 2023-05-17 10:11:54.901996, Key pressed: 3
Time: 2023-05-17 10:11:54.935947, Key pressed: 3
Time: 2023-05-17 10:11:54.969838, Key pressed: 3
Time: 2023-05-17 10:11:55.004066, Key pressed: 3
Time: 2023-05-17 10:11:55.038362, Key pressed: 3
Time: 2023-05-17 10:11:55.072381, Key pressed: 3
Time: 2023-05-17 10:11:55.108853, Key pressed: 3
Time: 2023-05-17 10:11:55.134884, Key pressed: 3
Time: 2023-05-17 10:11:55.712263, Key pressed: 2
Time: 2023-05-17 10:11:55.732699, Key pressed: 3
Time: 2023-05-17 10:11:55.930228, Key pressed: 1
Time: 2023-05-17 10:11:56.184320, Key pressed: 1
Time: 2023-05-17 10:11:56.218673, Key pressed: 1
Time: 2023-05-17 10:11:56.252338, Key pressed: 1
Time: 2023-05-17 10:11:56.287040, Key pressed: 1
Time: 2023-05-17 10:11:56.315526, Key pressed: 1
Time: 2023-05-17 10:11:56.354860, Key pressed: 1
Time: 2023-05-17 10:11:56.377869, Key pressed: 1
Time: 2023-05-17 10:11:56.411683, Key pressed: 1
Time: 2023-05-17 10:11:56.450184, Key pressed: 1
Time: 2023-05-17 10:11:56.489666, Key pressed: 1
Time: 2023-05-17 10:11:56.510925, Key pressed: 1
Time: 2023-05-17 10:11:59.777284, Key pressed: 1
Time: 2023-05-17 10:12:00.019167, Key pressed: 2
Time: 2023-05-17 10:12:00.275005, Key pressed: 2
Time: 2023-05-17 10:12:00.285551, Key pressed: 3
Time: 2023-05-17 10:12:00.546848, Key pressed: 3
Time: 2023-05-17 10:12:00.582998, Key pressed: 3
Time: 2023-05-17 10:12:00.614907, Key pressed: 3
Time: 2023-05-17 10:12:00.649015, Key pressed: 3
Time: 2023-05-17 10:12:00.679070, Key pressed: 3
Time: 2023-05-17 10:12:00.717358, Key pressed: 3
Time: 2023-05-17 10:12:00.751593, Key pressed: 3
Time: 2023-05-17 10:12:00.787290, Key pressed: 3
Time: 2023-05-17 10:12:00.824955, Key pressed: 3
Time: 2023-05-17 10:12:00.848602, Key pressed: 3
Time: 2023-05-17 10:12:00.886710, Key pressed: 3
Time: 2023-05-17 10:12:01.988286, Key pressed: 1
Time: 2023-05-17 10:12:02.239863, Key pressed: 1
Time: 2023-05-17 10:12:02.265453, Key pressed: 2
Time: 2023-05-17 10:12:02.505506, Key pressed: 3
Time: 2023-05-17 10:12:02.763148, Key pressed: 3
Time: 2023-05-17 10:12:02.796785, Key pressed: 3
Time: 2023-05-17 10:12:02.831139, Key pressed: 3
Time: 2023-05-17 10:12:02.864809, Key pressed: 3
Time: 2023-05-17 10:12:02.898115, Key pressed: 3
Time: 2023-05-17 10:12:02.937272, Key pressed: 3
Time: 2023-05-17 10:12:02.966379, Key pressed: 3
Time: 2023-05-17 10:12:03.005132, Key pressed: 3
Time: 2023-05-17 10:12:03.039103, Key pressed: 3
